Tensao_Fonte_V,Tensao_Multimetro_V
10.000,9.986600
11.000,10.984600
12.000,11.984000
13.000,12.982400
14.000,13.981000
15.000,14.980100
16.000,15.979100
17.000,16.977800
18.000,17.976500
19.000,18.975000
20.000,19.973800
21.000,20.973100
22.000,21.971600
23.000,22.970300
24.000,23.969000
25.000,24.968500
26.000,25.967100
5.000,4.991800
6.000,5.990500
7.000,6.989800
8.000,7.988200
9.000,8.987000
10.000,9.985400
11.000,10.984800
12.000,11.983900
13.000,12.982300
14.000,13.981200
