Tempo_s,Tensao_Fonte_V,Corrente_Fonte_A,Tensao_Multimetro_V
0.0,10.000,0.002826,9.987300
1.0,10.000,0.098244,9.989500
2.0,10.000,0.098229,9.989700
3.0,10.000,0.098222,9.989800
4.0,10.000,0.098214,9.989600
5.0,30.000,0.293981,29.972300
6.0,5.000,0.049087,4.994400
7.0,5.000,0.049110,4.994200
8.0,5.000,0.049118,4.994600
9.0,5.000,0.049123,4.994300
10.0,5.000,0.049130,4.994400
