Tensao (V),Corrente (A)
4.99979,0.0491619
4.99977,0.049159
4.9998,0.049159
4.9998,0.049159
4.99979,0.049161
4.99979,0.049159
9.99978,0.0982256
9.99977,0.0982027
9.99979,0.0981913
9.9998,0.0981827
9.99979,0.0981779
9.99978,0.0981741
