Tensao_Fonte_V,Corrente_Fonte_A,Corrente_Multimetro_A
10.00,0.006135,0.000080
10.00,0.098193,0.000110
10.00,0.098180,0.000090
10.00,0.098171,0.000190
10.00,0.098164,0.000050
30.00,0.294062,0.000080
5.00,0.291306,0.000100
5.00,0.049089,0.000080
5.00,0.049102,0.000040
5.00,0.049110,0.000150
5.00,0.049114,0.000040
