DataHora,Corrente (A)
2025-05-12 12:17:45,0.121275
2025-05-12 12:17:51,0.121257
2025-05-12 12:17:56,0.121218
2025-05-12 12:18:01,0.121267
2025-05-12 12:18:06,0.121221
2025-05-12 12:18:12,0.121218
2025-05-12 12:18:17,0.121193
2025-05-12 12:18:22,0.121211
2025-05-12 12:18:27,0.121172
2025-05-12 12:18:33,0.121143
2025-05-12 12:18:38,0.121175
2025-05-12 12:18:43,0.121122
