Data e Hora,Tempo (s),Corrente (mA)
2025-07-11 14:37:37,0.00074005126953125,1.9400000000000002
2025-07-11 14:37:37,0.26663780212402344,1.8550000000000002
2025-07-11 14:37:37,0.5307388305664062,1.667
2025-07-11 14:37:38,0.8260834217071533,1.617
2025-07-11 14:37:38,1.086256504058838,1.529
2025-07-11 14:37:38,1.346116304397583,1.433
2025-07-11 14:37:39,1.6069185733795166,1.3760000000000001
2025-07-11 14:37:39,1.8667800426483154,1.2489999999999999
2025-07-11 14:37:39,2.1270699501037598,1.196
2025-07-11 14:37:39,2.386033058166504,1.1280000000000001
2025-07-11 14:37:40,2.645994186401367,1.0859999999999999
2025-07-11 14:37:40,2.9062654972076416,0.99
2025-07-11 14:37:40,3.16666316986084,0.941
2025-07-11 14:37:40,3.4260847568511963,0.884
2025-07-11 14:37:41,3.6865744590759277,0.8630000000000001
2025-07-11 14:37:41,3.9464056491851807,0.799
2025-07-11 14:37:41,4.206582069396973,0.753
2025-07-11 14:37:41,4.46611762046814,0.739
2025-07-11 14:37:42,4.726776361465454,0.671
2025-07-11 14:37:42,4.986112356185913,0.671
2025-07-11 14:37:42,5.246784210205078,0.618
2025-07-11 14:37:42,5.506432056427002,0.5900000000000001
2025-07-11 14:37:43,5.767472982406616,0.533
2025-07-11 14:37:43,6.026106119155884,0.47300000000000003
2025-07-11 14:37:43,6.286094665527344,0.515
2025-07-11 14:37:43,6.54622220993042,0.462
2025-07-11 14:37:44,6.805874347686768,0.416
2025-07-11 14:37:44,7.066066026687622,0.43
2025-07-11 14:37:44,7.326097726821899,0.395
2025-07-11 14:37:45,7.586366891860962,0.384
2025-07-11 14:37:45,7.846559286117554,0.342
2025-07-11 14:37:45,8.106650829315186,0.31
2025-07-11 14:37:45,8.36605978012085,0.26699999999999996
2025-07-11 14:37:46,8.626487016677856,0.285
2025-07-11 14:37:46,8.88618016242981,0.321
2025-07-11 14:37:46,9.146628856658936,0.306
2025-07-11 14:37:46,9.406139373779297,0.243
2025-07-11 14:37:47,9.665881156921387,0.236
2025-07-11 14:37:47,9.926076650619507,0.175
2025-07-11 14:37:47,10.186189889907837,0.243
2025-07-11 14:37:47,10.445989847183228,0.136
2025-07-11 14:37:48,10.706027746200562,0.186
2025-07-11 14:37:48,10.986083984375,0.112
2025-07-11 14:37:48,11.245858907699585,0.17200000000000001
2025-07-11 14:37:48,11.506553411483765,0.133
2025-07-11 14:37:49,11.766042470932007,0.09000000000000001
2025-07-11 14:37:49,12.026204109191895,0.133
2025-07-11 14:37:49,12.286030054092407,0.11900000000000001
2025-07-11 14:37:49,12.546419382095337,0.004
2025-07-11 14:37:50,12.80617618560791,2.0140000000000002
2025-07-11 14:37:50,13.066261053085327,1.954
2025-07-11 14:37:50,13.326494932174683,1.8760000000000001
2025-07-11 14:37:51,13.585853576660156,1.734
2025-07-11 14:37:51,13.846395015716553,1.6700000000000002
2025-07-11 14:37:51,14.106320142745972,1.5250000000000001
2025-07-11 14:37:51,14.366777658462524,1.479
2025-07-11 14:37:52,14.626263856887817,1.38
2025-07-11 14:37:52,14.886013269424438,1.3339999999999999
2025-07-11 14:37:52,15.146199464797974,1.2630000000000001
2025-07-11 14:37:52,15.406409740447998,1.153
2025-07-11 14:37:53,15.665949583053589,1.075
2025-07-11 14:37:53,15.926567077636719,1.0219999999999998
2025-07-11 14:37:53,16.18616271018982,0.969
2025-07-11 14:37:53,16.446165084838867,0.916
2025-07-11 14:37:54,16.706379175186157,0.905
2025-07-11 14:37:54,16.967109203338623,0.87
2025-07-11 14:37:54,17.22618842124939,0.824
2025-07-11 14:37:54,17.48581624031067,0.7739999999999999
2025-07-11 14:37:55,17.74648690223694,0.721
2025-07-11 14:37:55,18.006426334381104,0.6890000000000001
2025-07-11 14:37:55,18.267181158065796,0.608
2025-07-11 14:37:55,18.526386499404907,0.6
2025-07-11 14:37:56,18.78692078590393,0.5900000000000001
2025-07-11 14:37:56,19.046252965927124,0.523
2025-07-11 14:37:56,19.30620551109314,0.505
2025-07-11 14:37:56,19.56626057624817,0.448
2025-07-11 14:37:57,19.826327800750732,0.44499999999999995
2025-07-11 14:37:57,20.08656883239746,0.434
2025-07-11 14:37:57,20.34606957435608,0.40900000000000003
2025-07-11 14:37:58,20.606069803237915,0.41300000000000003
2025-07-11 14:37:58,20.86611294746399,0.363
2025-07-11 14:37:58,21.12644600868225,0.299
2025-07-11 14:37:58,21.38566780090332,0.317
2025-07-11 14:37:59,21.646979093551636,0.331
2025-07-11 14:37:59,21.906331539154053,0.275
2025-07-11 14:37:59,22.166293382644653,0.285
2025-07-11 14:37:59,22.426060438156128,0.225
2025-07-11 14:38:00,22.686022758483887,0.204
2025-07-11 14:38:00,22.946317434310913,0.21800000000000003
2025-07-11 14:38:00,23.226038932800293,0.2
2025-07-11 14:38:00,23.4860737323761,0.207
2025-07-11 14:38:01,23.746102571487427,0.15100000000000002
2025-07-11 14:38:01,24.00635528564453,0.221
2025-07-11 14:38:01,24.266270399093628,0.158
2025-07-11 14:38:01,24.526690244674683,0.13999999999999999
2025-07-11 14:38:02,24.787449836730957,0.122
2025-07-11 14:38:02,25.04629945755005,0.182
2025-07-11 14:38:02,25.306193590164185,0.097
2025-07-11 14:38:02,25.566210508346558,0.094
2025-07-11 14:38:03,25.82636308670044,0.115
2025-07-11 14:38:03,26.086830139160156,0.097
2025-07-11 14:38:03,26.346111536026,0.094
2025-07-11 14:38:04,26.606091260910034,0.009000000000000001
2025-07-11 14:38:04,26.866195917129517,-2.3040000000000003
