DataHora,Resistencia (Ohms)
2025-05-13 13:16:30,101.71
2025-05-13 13:16:35,101.71
2025-05-13 13:16:40,101.71
2025-05-13 13:16:45,101.71
2025-05-13 13:16:51,101.71
2025-05-13 13:16:56,101.71
2025-05-13 13:17:01,101.71
2025-05-13 13:17:06,101.71
2025-05-13 13:17:12,101.71
2025-05-13 13:17:17,101.71
2025-05-13 13:17:22,101.71
2025-05-13 13:17:28,101.71
