DataHora,Tensao (V)
2025-05-28 14:55:40,0.9979
2025-05-28 14:55:45,0.9979
2025-05-28 14:55:50,0.9979
2025-05-28 14:55:56,0.9979
2025-05-28 14:56:01,0.9979
2025-05-28 14:56:06,0.9979
2025-05-28 14:56:11,0.9979
2025-05-28 14:56:17,0.9979
2025-05-28 14:56:22,0.9979
2025-05-28 14:56:27,0.9979
2025-05-28 14:56:32,0.9979
2025-05-28 14:56:38,0.9979
