Data e Hora,Tempo (s),Tensão Capacitor (V),Tensão Fonte (V)
2025-07-16 14:26:57,35.541069984436035,11.95166,5
2025-07-16 14:26:58,35.90129566192627,11.45488,5
2025-07-16 14:26:58,36.261335372924805,10.789672,5
2025-07-16 14:26:59,36.80031156539917,10.375045,5
2025-07-16 14:26:59,37.16120624542236,9.991506,5
2025-07-16 14:26:59,37.52110004425049,9.636759,5
2025-07-16 14:27:00,37.8807213306427,9.307727,5
2025-07-16 14:27:00,38.241127252578735,9.001756,5
2025-07-16 14:27:00,38.60056710243225,8.718119,5
2025-07-16 14:27:01,38.96066498756409,8.454199,5
2025-07-16 14:27:01,39.3209011554718,8.210319,5
2025-07-16 14:27:01,39.68101406097412,7.98334,5
2025-07-16 14:27:02,40.04109787940979,7.772399,5
2025-07-16 14:27:02,40.401084184646606,7.576839,5
2025-07-16 14:27:03,40.76157212257385,7.395062,5
2025-07-16 14:27:03,41.1207058429718,7.226583,5
2025-07-16 14:27:03,41.48077630996704,7.070254,5
2025-07-16 14:27:04,41.84078669548035,6.924919,5
2025-07-16 14:27:04,42.20084047317505,6.789842,5
2025-07-16 14:27:04,42.56068420410156,6.664237,5
2025-07-16 14:27:05,42.92064023017883,6.547788,5
2025-07-16 14:27:05,43.28089356422424,6.439572,5
2025-07-16 14:27:05,43.64106893539429,6.339094,5
2025-07-16 14:27:06,44.00086808204651,6.24582,5
2025-07-16 14:27:06,44.36085486412048,6.159167,5
2025-07-16 14:27:07,44.7205650806427,6.078486,5
2025-07-16 14:27:07,45.08035397529602,6.003759,5
2025-07-16 14:27:07,45.44037365913391,5.934191,5
2025-07-16 14:27:08,45.80054426193237,5.869405,5
2025-07-16 14:27:08,46.16037034988403,5.809452,5
2025-07-16 14:27:08,46.521212339401245,5.75351,5
2025-07-16 14:27:09,46.88079237937927,5.701599,5
2025-07-16 14:27:09,47.240599632263184,5.65342,5
2025-07-16 14:27:09,47.60087752342224,5.608556,5
2025-07-16 14:27:10,47.960869789123535,5.566833,5
2025-07-16 14:27:10,48.32070589065552,5.52807,5
2025-07-16 14:27:10,48.68065047264099,5.492002,5
